time,vehicle_id,position,speed,lane_id,waiting_time,acceleration,distance,route_id,type_id,co2_emission,fuel_consumption,noise_emission,hc_emission,pmx_emission,nox_emission
1.0,flow_east_left.0,"(394.9, 201.6)",17.34861,east_in_2,0.0,0.0,0.0,east_to_north,passenger,2417.5209067874007,783.7390051202607,66.89634445576533,0.11132206471425671,0.5159286021995093,0.8980984638638358
1.0,flow_east_right.0,"(394.9, 208.0)",13.346901,east_in_0,0.0,0.0,0.0,east_to_south,passenger,2014.1540842098943,652.9730870325262,64.186241765339,0.05069072674942572,0.3810065534266511,0.7421121183023452
1.0,flow_east_straight.0,"(394.9, 204.8)",13.224669,east_in_1,0.0,0.0,0.0,east_to_west,passenger,2004.4877522387756,649.839398456221,64.09983665329767,0.049310752836642976,0.3770735992347964,0.7385618570867668
1.0,flow_north_left.0,"(198.4, 394.9)",14.295587999999999,north_in_2,0.0,0.0,0.0,north_to_east,passenger,2094.1562114420085,678.9086536041308,64.85031915270872,0.062286405698158666,0.41189333167240216,0.7719443411136963
1.0,flow_north_right.0,"(192.0, 394.9)",15.783207000000003,north_in_0,0.0,0.0,0.0,north_to_west,passenger,2238.4768721032233,725.695402041296,65.86562322927288,0.0838248833230118,0.4616694967846556,0.8273564188680674
1.0,flow_north_straight.0,"(195.2, 394.9)",14.488659,north_in_1,0.0,0.0,0.0,north_to_south,passenger,2111.5513170066192,684.5479035922768,64.98395628487765,0.06484429513387753,0.41825928813693086,0.778525027584108
1.0,flow_south_left.0,"(201.6, 5.1)",15.94572,south_in_2,0.0,0.0,0.0,south_to_west,passenger,2255.722836180509,731.2863045418881,65.97446788664959,0.08644096404197202,0.4672105874085599,0.8340868141511335
1.0,flow_south_right.0,"(208.0, 5.1)",12.664902000000001,south_in_0,0.0,0.0,0.0,south_to_east,passenger,1962.016320086117,636.0707604428688,63.70192883539133,0.04331045050340626,0.3591948149660751,0.7231248691422061
1.0,flow_south_straight.0,"(204.8, 5.1)",13.044099000000001,south_in_1,0.0,0.0,0.0,south_to_north,passenger,1990.4676547469721,645.2942807035322,63.97186671245767,0.04731833550045241,0.371282628297991,0.7334359616416424
1.0,flow_west_left.0,"(5.1, 198.4)",14.194191000000002,west_in_2,0.0,0.0,0.0,west_to_south,passenger,2085.1745149889603,675.9969133291008,64.77992333927283,0.060970412744068704,0.4085610488429065,0.7685586838185821
1.0,flow_west_right.0,"(5.1, 192.0)",14.040011999999999,west_in_0,0.0,0.0,0.0,west_to_north,passenger,2071.7183508900016,671.634613436113,64.67260781667234,0.05900511176337974,0.4035085549640301,0.7635025506670441
1.0,flow_west_straight.0,"(5.1, 195.2)",14.623392,west_in_1,0.0,0.0,0.0,west_to_east,passenger,2123.920212893453,688.5577268695423,65.07689499282489,0.06667017059215026,0.42271808157190444,0.783222460458698
2.0,flow_east_left.0,"(378.1324622054215, 201.6)",16.767537794578487,east_in_2,0.0,-0.5810722054215134,16.767537794578487,east_to_north,passenger,0.0,0.0,65.53677845412241,0.0,0.0,0.0
2.0,flow_east_right.0,"(382.4580591772567, 208.0)",12.441940822743275,east_in_0,0.0,-0.9049601772567257,12.441940822743275,east_to_south,passenger,0.0,0.0,61.71268192622965,0.0,0.0,0.0
2.0,flow_east_straight.0,"(382.4859716168779, 204.8)",12.414028383122064,east_in_1,0.0,-0.8106406168779365,12.414028383122064,east_to_west,passenger,0.0,0.0,61.83854783194385,0.0,0.0,0.0
2.0,flow_north_left.0,"(198.4, 381.3332532463153)",13.56674675368472,north_in_2,0.0,-0.7288412463152785,13.56674675368472,north_to_east,passenger,0.0,0.0,62.916312837256186,0.0,0.0,0.0
2.0,flow_north_right.0,"(192.0, 380.36360164575785)",14.536398354242156,north_in_0,0.0,-1.246808645757847,14.536398354242154,north_to_west,passenger,0.0,0.0,63.05155127815728,0.0,0.0,0.0
2.0,flow_north_straight.0,"(195.2, 381.28963696903173)",13.61036303096825,north_in_1,0.0,-0.8782959690317504,13.61036303096825,north_to_south,passenger,0.0,0.0,62.72952238587492,0.0,0.0,0.0
2.0,flow_south_left.0,"(201.6, 20.481521833169534)",15.381521833169534,south_in_2,0.0,-0.5641981668304652,15.381521833169534,south_to_west,passenger,0.0,0.0,64.56326555503708,0.0,0.0,0.0
2.0,flow_south_right.0,"(208.0, 16.500546509829583)",11.400546509829582,south_in_0,0.0,-1.26435549017042,11.400546509829583,south_to_east,passenger,0.0,0.0,60.26067834388769,0.0,0.0,0.0
2.0,flow_south_straight.0,"(204.8, 16.848088820275457)",11.748088820275457,south_in_1,0.0,-1.2960101797245436,11.748088820275457,south_to_north,passenger,0.0,0.0,60.546402039337195,0.0,0.0,0.0
2.0,flow_west_left.0,"(18.349411826459118, 198.4)",13.249411826459118,west_in_2,0.0,-0.9447791735408835,13.249411826459118,west_to_south,passenger,0.0,0.0,62.3380078320301,0.0,0.0,0.0
2.0,flow_west_right.0,"(18.32201161967766, 192.0)",13.222011619677662,west_in_0,0.0,-0.8180003803223368,13.22201161967766,west_to_north,passenger,0.0,0.0,62.49943116561357,0.0,0.0,0.0
2.0,flow_west_straight.0,"(18.48299680521899, 195.2)",13.382996805218989,west_in_1,0.0,-1.2403951947810121,13.382996805218989,west_to_east,passenger,0.0,0.0,62.08390758917907,0.0,0.0,0.0
3.0,flow_east_left.0,"(361.9686531461037, 201.6)",16.16380905931782,east_in_2,0.0,-0.6037287352606668,32.93134685389631,east_to_north,passenger,0.0,0.0,65.0748484719098,0.0,0.0,0.0
3.0,flow_east_right.0,"(369.63286501476557, 208.0)",12.825194162491174,east_in_0,0.0,0.383253339747899,25.26713498523445,east_to_south,passenger,3108.035631254446,1007.5884613938824,64.83891562616209,0.12074948387229378,0.3871128430423604,1.1125302646743442
3.0,flow_east_straight.0,"(369.88861913279396, 204.8)",12.597352484083974,east_in_1,0.0,0.18332410096190976,25.011380867206036,east_to_west,passenger,2490.4134843766114,807.3670381877204,64.12957751372217,0.07759008850971011,0.36758322909341706,0.9008618900483966
3.0,flow_north_left.0,"(198.4, 368.1352365976013)",13.198016648713974,north_in_2,0.0,-0.3687301049707461,26.764763402398692,north_to_east,passenger,0.0,0.0,63.26850665780313,0.0,0.0,0.0
3.0,flow_north_right.0,"(192.0, 364.5980024247671)",15.765599220990735,north_in_0,0.0,1.2292008667485792,30.30199757523289,north_to_west,passenger,6707.938868564089,2174.607115911114,69.23587004828977,0.4507832223216038,0.571669689443432,2.5003496313738145
3.0,flow_north_straight.0,"(195.2, 366.94666052370053)",14.342976445331253,north_in_1,0.0,0.7326134143630032,27.953339476299497,north_to_south,passenger,4517.472382226751,1464.5011672768626,66.82677440446588,0.24406604239441682,0.46801172948687814,1.6403253374661269
3.0,flow_south_left.0,"(201.6, 35.42406421062682)",14.942542377457283,south_in_2,0.0,-0.4389794557122517,30.324064210626815,south_to_west,passenger,0.0,0.0,64.4430709021327,0.0,0.0,0.0
3.0,flow_south_right.0,"(208.0, 28.197089643541258)",11.696543133711675,south_in_0,0.0,0.29599662388209325,23.09708964354126,south_to_east,passenger,2698.752745877455,874.906295704859,63.8336460853847,0.08279116725655233,0.3434240518657627,0.9600822394283315
