time,traffic_light_id,state,phase,phase_duration,next_switch
91.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,227.0
92.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,227.0
93.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,227.0
94.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,227.0
95.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,227.0
96.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,237.5
97.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,237.5
98.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,237.5
99.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,237.5
100.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,237.5
101.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,248.0
102.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,248.0
103.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,248.0
104.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,248.0
105.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,248.0
106.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,258.5
107.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,258.5
108.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,258.5
109.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,258.5
110.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,258.5
111.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,269.0
112.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,269.0
113.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,269.0
114.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,269.0
115.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,269.0
116.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,279.5
117.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,279.5
118.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,279.5
119.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,279.5
120.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,279.5
121.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,290.0
122.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,290.0
123.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,290.0
124.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,290.0
125.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,290.0
126.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,300.5
127.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,300.5
128.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,300.5
129.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,300.5
130.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,300.5
131.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,311.0
132.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,311.0
133.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,311.0
134.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,311.0
135.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,311.0
136.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,321.5
137.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,321.5
138.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,321.5
139.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,321.5
140.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,321.5
141.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,332.0
142.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,332.0
143.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,332.0
144.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,332.0
145.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,332.0
146.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,342.5
147.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,342.5
148.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,342.5
149.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,342.5
150.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,342.5
151.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,353.0
152.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,353.0
153.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,353.0
154.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,353.0
155.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,353.0
156.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,363.5
157.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,363.5
158.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,363.5
159.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,363.5
160.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,363.5
161.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,374.0
162.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,374.0
163.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,374.0
164.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,374.0
165.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,374.0
166.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,384.5
167.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,384.5
168.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,384.5
169.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,384.5
170.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,384.5
171.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,395.0
172.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,395.0
173.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,395.0
174.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,395.0
175.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,395.0
176.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,405.5
177.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,405.5
178.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,405.5
179.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,405.5
180.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,405.5
181.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,416.0
182.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,416.0
183.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,416.0
184.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,416.0
185.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,416.0
186.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,426.5
187.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,426.5
188.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,426.5
189.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,426.5
190.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,426.5
191.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,437.0
192.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,437.0
193.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,437.0
194.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,437.0
195.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,437.0
196.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,447.5
197.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,447.5
198.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,447.5
199.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,447.5
200.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,447.5
201.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,458.0
202.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,458.0
203.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,458.0
