time,detector_id,vehicle_count,occupancy,mean_speed,vehicle_ids
1.0,10991992811_0_D0.0,0,0.0,-1.0,[]
1.0,10991992811_0_D0.1,0,0.0,-1.0,[]
1.0,1142037880_0_D0.0,0,0.0,-1.0,[]
1.0,1142037880_0_D0.1,0,0.0,-1.0,[]
1.0,1372689192_0_D0.0,0,0.0,-1.0,[]
1.0,1372689192_0_D0.1,0,0.0,-1.0,[]
1.0,1372689192_0_D0.2,0,0.0,-1.0,[]
1.0,1490637116_0_D0.0,0,0.0,-1.0,[]
1.0,1496363648_0_D0.0,0,0.0,-1.0,[]
1.0,1496363648_0_D0.1,0,0.0,-1.0,[]
1.0,1496363648_0_D0.2,0,0.0,-1.0,[]
1.0,247279316_0_D0.0,0,0.0,-1.0,[]
1.0,247279316_0_D0.1,0,0.0,-1.0,[]
1.0,247279316_0_D0.2,0,0.0,-1.0,[]
1.0,247279316_0_D1.0,0,0.0,-1.0,[]
1.0,248146256_0_D0.0,0,0.0,-1.0,[]
1.0,248146256_0_D0.1,0,0.0,-1.0,[]
1.0,248146256_0_D0.2,0,0.0,-1.0,[]
1.0,254348092_0_D0.0,0,0.0,-1.0,[]
1.0,254348092_0_D1.0,0,0.0,-1.0,[]
1.0,254348092_0_D1.1,0,0.0,-1.0,[]
1.0,292393845_0_D0.0,0,0.0,-1.0,[]
1.0,292393845_0_D0.1,0,0.0,-1.0,[]
1.0,449272_0_D0.0,0,0.0,-1.0,[]
1.0,449272_0_D1.0,0,0.0,-1.0,[]
1.0,643081092_0_D0.0,0,0.0,-1.0,[]
1.0,643081092_0_D0.1,0,0.0,-1.0,[]
1.0,643081096_0_D0.0,0,0.0,-1.0,[]
1.0,643081096_0_D0.1,0,0.0,-1.0,[]
1.0,7022712200_0_D0.0,0,0.0,-1.0,[]
1.0,7022712200_0_D0.1,0,0.0,-1.0,[]
1.0,7022712200_0_D0.2,0,0.0,-1.0,[]
1.0,84497447_0_D0.0,0,0.0,-1.0,[]
1.0,84497447_0_D1.0,0,0.0,-1.0,[]
1.0,9285655216_0_D0.0,0,0.0,-1.0,[]
1.0,9285655216_0_D0.1,0,0.0,-1.0,[]
1.0,GS_1238715_0_D0.0,0,0.0,-1.0,[]
1.0,GS_1238715_0_D1.0,0,0.0,-1.0,[]
1.0,GS_1238725_0_D0.0,0,0.0,-1.0,[]
1.0,GS_1238725_0_D0.1,0,0.0,-1.0,[]
1.0,GS_1238725_0_D1.0,0,0.0,-1.0,[]
1.0,GS_1238725_0_D2.0,0,0.0,-1.0,[]
1.0,GS_1238725_0_D2.1,0,0.0,-1.0,[]
1.0,GS_cluster_26538293_359615_0_D0.0,0,0.0,-1.0,[]
1.0,GS_cluster_26538293_359615_0_D1.0,0,0.0,-1.0,[]
1.0,GS_cluster_26538293_359615_0_D1.1,0,0.0,-1.0,[]
1.0,GS_cluster_26538293_359615_0_D2.0,0,0.0,-1.0,[]
1.0,GS_cluster_26538293_359615_0_D3.0,0,0.0,-1.0,[]
1.0,GS_cluster_26538298_359625_0_D0.0,0,0.0,-1.0,[]
1.0,GS_cluster_26538298_359625_0_D1.0,0,0.0,-1.0,[]
1.0,GS_cluster_26538298_359625_0_D2.0,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D0.0,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D1.0,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D1.1,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D1.2,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D2.0,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D3.0,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D3.1,0,0.0,-1.0,[]
1.0,GS_cluster_32950099_474438_0_D3.2,0,0.0,-1.0,[]
1.0,cluster_11103082862_12042077520_13207700453_13207700457_#9more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_11103082862_12042077520_13207700453_13207700457_#9more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_11103082862_12042077520_13207700453_13207700457_#9more_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_11103082862_12042077520_13207700453_13207700457_#9more_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_11103082862_12042077520_13207700453_13207700457_#9more_0_D2.1,0,0.0,-1.0,[]
1.0,cluster_1142037871_1142037878_1142037884_443339_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1142037871_1142037878_1142037884_443339_0_D0.1,0,0.0,-1.0,[]
1.0,cluster_1142037871_1142037878_1142037884_443339_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1142037871_1142037878_1142037884_443339_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_1142200360_12057116094_1603562577_1761928376_#2more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1142200360_12057116094_1603562577_1761928376_#2more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1142200360_12057116094_1603562577_1761928376_#2more_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_1142200360_12057116094_1603562577_1761928376_#2more_0_D1.2,0,0.0,-1.0,[]
1.0,cluster_1142200360_12057116094_1603562577_1761928376_#2more_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_12057116091_1603562594_1672454856_295804641_#3more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_12057116091_1603562594_1672454856_295804641_#3more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_12057116091_1603562594_1672454856_295804641_#3more_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_12057116091_1603562594_1672454856_295804641_#3more_0_D1.2,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D1.2,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D3.0,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D3.1,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D3.2,0,0.0,-1.0,[]
1.0,cluster_1238722_2258353185_25631194_25631495_0_D4.0,0,0.0,-1.0,[]
1.0,cluster_1238741_376461691_615623844_615623884_#1more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1238741_376461691_615623844_615623884_#1more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1238741_376461691_615623844_615623884_#1more_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_1325227229_256549820_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1325227229_256549820_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1325227229_256549820_0_D1.1,0,0.0,-1.0,[]
1.0,cluster_1325227229_256549820_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_1352605_2282235895_2282235923_3267057209_#3more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1352605_2282235895_2282235923_3267057209_#3more_0_D0.1,0,0.0,-1.0,[]
1.0,cluster_1352605_2282235895_2282235923_3267057209_#3more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1352605_2282235895_2282235923_3267057209_#3more_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_1352617_1589663044_1629678757_1836510625_#2more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1352617_1589663044_1629678757_1836510625_#2more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1352617_1589663044_1629678757_1836510625_#2more_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_1352617_1589663044_1629678757_1836510625_#2more_0_D3.0,0,0.0,-1.0,[]
1.0,cluster_1352617_1589663044_1629678757_1836510625_#2more_0_D4.0,0,0.0,-1.0,[]
1.0,cluster_1431777701_1672454852_443335_8790423656_#1more_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1431777701_1672454852_443335_8790423656_#1more_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1431777701_1672454852_443335_8790423656_#1more_0_D2.0,0,0.0,-1.0,[]
1.0,cluster_1431777701_1672454852_443335_8790423656_#1more_0_D2.1,0,0.0,-1.0,[]
1.0,cluster_1431777701_1672454852_443335_8790423656_#1more_0_D3.0,0,0.0,-1.0,[]
1.0,cluster_1490637119_655245426_9254676052_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1490637119_655245426_9254676052_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1496377176_1496377178_2106373753_443909_0_D0.0,0,0.0,-1.0,[]
1.0,cluster_1496377176_1496377178_2106373753_443909_0_D1.0,0,0.0,-1.0,[]
1.0,cluster_1496377176_1496377178_2106373753_443909_0_D1.1,0,0.0,-1.0,[]
