time,traffic_light_id,state,phase,phase_duration,next_switch
50.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,60.0
50.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,60.0
50.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,60.0
55.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGggyyyyrrrr,2,3.0,60.0
55.0,cluster_123241924_382443557_5344542568_5546892974_#3more,yyyygggrrrrrrrrrrrrryyyyyggrrrr,2,3.0,60.0
55.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,60.0
55.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,60.0
55.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,60.0
60.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,85.0
60.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrGGGrrrrrrrrrrrrrrrrrrGGrrrr,3,6.0,85.0
60.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,85.0
60.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,85.0
60.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,85.0
65.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,85.0
65.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrGGGrrrrrrrrrrrrrrrrrrGGrrrr,3,6.0,85.0
65.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,85.0
65.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,85.0
65.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,85.0
70.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,85.0
70.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrGGGrrrrrrrrrrrrrrrrrrGGrrrr,3,6.0,85.0
70.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,85.0
70.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,85.0
70.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,85.0
75.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,85.0
75.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrGGGrrrrrrrrrrrrrrrrrrGGrrrr,3,6.0,85.0
75.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrrrrr,4,5.0,85.0
75.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,85.0
75.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,85.0
80.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,85.0
80.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrGGGrrrrrrrrrrrrrrrrrrGGrrrr,3,6.0,85.0
